[2026-01-25T17:47:02.908+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.934+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.935+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:47:02.962+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T17:47:02.981+0000] {standard_task_runner.py:60} INFO - Started process 31153 to run task
[2026-01-25T17:47:02.997+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp3wduu174']
[2026-01-25T17:47:03.012+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask fetch_and_store_swaps
[2026-01-25T17:47:03.182+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T17:50:14.299+0000] {logging_mixin.py:188} INFO - [17:50:14] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T17:50:16.350+0000] {logging_mixin.py:188} INFO - [17:50:16] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T17:50:17.794+0000] {logging_mixin.py:188} INFO - [17:50:17] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T17:50:19.235+0000] {logging_mixin.py:188} INFO - [17:50:19] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T17:50:20.741+0000] {logging_mixin.py:188} INFO - [17:50:20] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T17:50:22.135+0000] {logging_mixin.py:188} INFO - [17:50:22] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T17:50:23.630+0000] {logging_mixin.py:188} INFO - [17:50:23] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T17:50:25.075+0000] {logging_mixin.py:188} INFO - [17:50:25] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T17:50:26.485+0000] {logging_mixin.py:188} INFO - [17:50:26] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T17:50:28.024+0000] {logging_mixin.py:188} INFO - [17:50:28] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T17:50:29.559+0000] {logging_mixin.py:188} INFO - [17:50:29] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T17:50:31.232+0000] {logging_mixin.py:188} INFO - [17:50:31] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T17:50:33.581+0000] {logging_mixin.py:188} INFO - [17:50:33] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T17:50:35.622+0000] {logging_mixin.py:188} INFO - [17:50:35] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T17:50:36.780+0000] {logging_mixin.py:188} INFO - [17:50:36] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T17:50:38.390+0000] {logging_mixin.py:188} INFO - [17:50:38] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T17:50:39.800+0000] {logging_mixin.py:188} INFO - [17:50:39] Fetched 1000 swaps from token0_in (Total: 133000)
